superficie_afectada_por_incendios_anio;superficie_afectada_por_incendios_provincia;superficie_afectada_por_incendios_total_hectareas;superficie_afectada_por_incendios_bosque_nativo_hectareas;superficie_afectada_por_incendios_bosque_cultivado_hectareas;superficie_afectada_por_incendios_arbustal_hectareas;superficie_afectada_por_incendios_pastizal_hectareas;superficie_afectada_por_incendios_sin_determinar_hectareas
2005;Mendoza;64.985,50;6.360,90; -   ;20.177,10;38.447,50; -   
2005;Misiones;8.966,00;1.526,50;414,5;3.719,00;3.306,00; -   
2005;Neuquén;22.962,47;214,19;1.805,52;1.973,17;18.969,60; -   
2005;Río Negro;303.278,85;92.277,23;387,5;96.019,26;114.594,86; -   
2005;Salta;61.778,00;10.876,00;3.330,00;17.414,00;30.158,00; -   
2005;San Juan;995,75; -   ;4;230,25;761,5; -   
2005;San Luis;22.562,20;22.314,00; -   ; -   ;248,2; -   
2005;Santa Cruz;9.398,12;57,2;35,83;2.010,50;7.294,59; -   
2005;Santa Fe;1.911,00;15;177;114;1.605,00; -   
2005;Santiago del Estero;8.000,00;3.300,00; -   ; -   ;4.700,00; -   
2005;Tierra del Fuego;17,3;8,92; -   ;0,03;7,85;0,5
2005;Tucumán;2.951,00; -   ; -   ;125,2;2.825,80; -   
2006;Buenos Aires;168.086,24;648,82;796,26;694,07;165.947,09; -   
2006;Catamarca;4.856,00;0,5; -   ;1.791,70;3.063,80; -   
2006;Chaco;37.606,18;15.943,50;4.250,00;1.153,88;16.258,80; -   
2006;Chubut;330,72;74,54;129,11;74,72;52,35; -   
2006;Córdoba;61.769,00;23.498,00;124;15.160,00;22.987,00; -   
2006;Corrientes;7.370,00; -   ;7.370,00; -   ; -   ; -   
2006;Entre Ríos;4.804,90;344,9;2.856,90;870,1;733; -   
2006;Formosa;1.691,00; -   ; -   ;94;1.597,00; -   
2006;Jujuy;5.875,44;31,44;14,7;107,54;5.721,77; -   
2006;La Pampa;137.390,00;34.170,00;200;56.690,00;46.330,00; -   
2006;La Rioja;7.678,00;7.500,00; -   ; -   ;178; -   
2006;Mendoza;60.499,80;4.906,00;395,9;12.302,49;42.895,41; -   
2006;Misiones;2.955,71;23,5;848,55;20,1;2.063,56; -   
2006;Neuquén;7.664,52;600,22;222,81;4.368,60;2.472,81;0,08
2006;Río Negro;141.791,43;14.222,13;186,46;61.491,51;65.891,34; -   
2006;Salta;41.162,50;8.060,00;1.924,50;12.980,50;18.197,50; -   
2006;San Juan;656; -   ; -   ;121,75;534,25; -   
2006;San Luis;20.832,00;8.440,00; -   ; -   ;12.392,00; -   
2006;Santa Cruz;3.125,52;1,5;2,08;1.581,45;1.540,50; -   
2006;Santa Fe;3.047,00;100;607;75;2.265,00; -   
2006;Santiago del Estero;15.000,00;12.300,00; -   ; -   ;2.700,00; -   
2006;Tierra del Fuego;0,76;0,4;0; -   ; -   ;0,36
2006;Tucumán;2.146,80; -   ;98;139,3;1.909,50; -   
2007;Buenos Aires;19.106,48;1.392,15;1.553,07;267,95;15.893,31; -   
2007;Catamarca;24.754,60; -   ;59;4.745,70;19.949,90; -   
2007;Chaco;26.213,10;3.559,00; -   ;373;22.281,10; -   
2007;Chubut;756,42;47,1;213,59;290,83;204,9; -   
2007;Ciudad Autónoma de Buenos Aires;8,02; -   ;0; -   ;8,02; -   
2007;Córdoba;11.369,00;4.371,00; -   ;472;6.526,00; -   
2007;Corrientes;569;25;0;29;515; -   
2007;Entre Ríos;549,32;79,5;150;96,82;223; -   
2007;Formosa;3.056,00;16;4;31;3.005,00; -   
2007;Jujuy;1.498,24;39,49;545,65;284,3;628,8; -   
2007;La Pampa;22.255,00;7.156,00;500;10.888,00;3.711,00; -   
2007;La Rioja;200;19;8;67;106; -   
2007;Mendoza;16.167,00;1.671,60;12;5.169,30;9.314,10; -   
2007;Misiones;295,5; -   ;37;20;238,5; -   
2007;Neuquén;1.153,77;29,45;23,01;546,46;554,86; -   
2007;Río Negro;43.544,83;24,53;10,68;18.434,12;25.075,49; -   
2007;Salta;36.809,00;6.993,00;1.206,00;11.717,00;16.893,00; -   
2007;San Juan;1.346,00; -   ; -   ;160,75;1.185,25; -   
2007;San Luis;25.660,00;4.884,00; -   ;8.571,00;12.205,00; -   
2007;Santa Cruz;9.023,83;2,1;1,5;1.816,45;7.203,78; -   
2007;Santa Fe;2.794,00;98;95;519;2.082,00; -   
2007;Santiago del Estero;4.545,00; -   ; -   ;950;3.595,00; -   
2007;Tierra del Fuego;15,53;1,85; -   ;3,84;8,97;0,87
2007;Tucumán;861,6;39,5;2,5;160,3;659,3; -   
2008;Buenos Aires;68.824,37;2.083,26;10.462,31;2.204,19;54.074,61; -   
2008;Catamarca;12.544,60;2.840,00;274,4;5.135,40;4.294,80; -   
2008;Chaco;2.873,00;718; -   ;246;1.909,00; -   
2008;Chubut;9.286,78;3.459,09;779,86;1.536,10;3.511,73; -   
2008;Ciudad Autónoma de Buenos Aires;2,34;0,3; -   ;0;2,03; -   
2008;Córdoba;61.541,65;15.603,00;2;18.228,00;27.708,65; -   
2008;Corrientes;8.053,00;2.880,00;3.161,00; -   ;2.012,00; -   
2008;Entre Ríos;77.893,10;2.037,10;1.314,60;27.341,70;47.199,70; -   
2008;Formosa;4.165,00;30; -   ;131;4.004,00; -   
2008;Jujuy;2.646,57;190,93;391,81;1.399,57;664,26; -   
2008;La Pampa;97.486,00;41.315,00; -   ;22.166,00;34.005,00; -   
2008;La Rioja;1.016,60;70,1; -   ;324,9;621,6; -   
2008;Mendoza;88.526,50;826,5;1,3;10.016,30;77.682,40; -   
2008;Misiones;1.473,45;83,1;385,15;238,05;767,15; -   
2008;Neuquén;872,37;135,65;33,11;217,12;486,49; -   
2008;Río Negro;20.348,51;7,9;20,28;5.668,79;14.651,55; -   
2008;Salta;27.391,00;4.428,00;1.294,00;8.554,00;13.115,00; -   
2008;San Juan;1.122,75;120;15;148;839,75; -   
2008;San Luis;24.150,00;3.070,00;2.000,00; -   ;19.080,00; -   
2008;Santa Cruz;55.298,90;3,25; -   ;33.455,84;21.839,81; -   
2008;Santa Fe;5.001,00;234;179;284;4.304,00; -   
2008;Santiago del Estero;24.633,00; -   ; -   ;3.773,00;20.860,00; -   
